"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EPHX4",3.0108657908929,4.99749322151943,17.6033606279222,1.50666831823278e-11,2.83796044422326e-07,16.4971885349185
"CDH3",2.76929234745584,6.90662350563603,14.971377543798,1.56832779612009e-10,6.22282222517774e-07,14.3853467705098
"POLR1B",1.2482983436622,6.60466937798618,14.9172938636577,1.65184280770273e-10,6.22282222517774e-07,14.3375415618609
"ETV4",1.79006325428803,6.1601990432733,14.0854516740606,3.74845803347896e-10,7.84510616873442e-07,13.5771493179555
"NOB1",1.2027182864235,9.33287195982028,13.4504703187134,7.21093964875483e-10,9.98768500884669e-07,12.9632470262957
"PAFAH1B3",1.26068220968676,7.96574832351012,13.4486238659741,7.22494828315228e-10,9.98768500884669e-07,12.9614174229956
"FOXQ1",4.47033558894204,6.54199038270568,13.4193965296606,7.45057556365664e-10,9.98768500884669e-07,12.9324216565533
"CCT6A",1.11736230558266,9.00323700045599,13.3238978329607,8.24139017234059e-10,9.98768500884669e-07,12.8372166893959
"ZC3H8",1.24612647432621,6.60790853167375,13.2965491406766,8.48391166604093e-10,9.98768500884669e-07,12.809820839052
"DCUN1D5",1.61255418154364,8.94907747642815,12.9774662113684,1.19454161209375e-09,1.05408165320875e-06,12.4858000898379
"GTF2IRD1",2.29266990368265,7.46295267934504,12.852805080901,1.36804217533703e-09,1.05408165320875e-06,12.3569769552389
"KIAA1549",1.64651988682201,5.03845476123398,12.7965013150423,1.45498635503437e-09,1.05408165320875e-06,12.2983747339319
"CMSS1",1.54012758040206,6.97889410743627,12.6254693934049,1.75693435958004e-09,1.18191484275178e-06,12.1187429344341
"PUS1",1.2089818038007,7.31158030167005,12.3305382859265,2.44445470994366e-09,1.3723740488757e-06,11.8031547888593
"SIM2",1.38851596417321,4.05586657222016,12.2748641659956,2.60360944654437e-09,1.3723740488757e-06,11.7427378725914
"NKRF",1.32438977888283,6.47448200965722,12.2683529719614,2.62292767888751e-09,1.3723740488757e-06,11.7356542788019
"RCL1",1.17901279767418,5.94969576404992,12.195715323105,2.8490341646095e-09,1.41222125064696e-06,11.6563781996657
"TAF1D",1.10832847392185,7.68247325922788,12.0558820751306,3.34448721124628e-09,1.57599788671408e-06,11.5024483761779
"ATIC",1.01043802578636,9.09399305848471,11.7247718085165,4.91915207859532e-09,2.05904774560937e-06,11.1309083929552
"PDCD2L",1.50565793416071,6.8374803891342,11.6214279182706,5.55875515484506e-09,2.24964996639091e-06,11.0128730219566
"NFE2L3",2.5788856304301,6.44244645485654,11.5510852050329,6.04409715177281e-09,2.27693227901585e-06,10.9319558337636
"NEBL",1.04366395929256,4.80923940122267,11.3408476086259,7.78142265067357e-09,2.71427550089051e-06,10.6873009239909
"PUS7",1.68340742072034,6.79371246225629,11.2786363826637,8.39153437963032e-09,2.79474944200029e-06,10.6140869662239
"LRRC6",1.92600089117997,5.63158809878373,11.2722231769272,8.45724772743769e-09,2.79474944200029e-06,10.606518050403
"PRPF4",1.07513717092283,6.71201706142244,10.8527669510324,1.4197166549811e-08,3.9066576894701e-06,10.1026036407866
"ZNF593",1.34878178565572,7.8212639790519,10.8464060768614,1.43108611474536e-08,3.9066576894701e-06,10.094825391126
"DKC1",1.53174564577165,8.67260742468518,10.662322279265,1.80556277184908e-08,4.40079198302903e-06,9.86791520277086
"PPAT",1.51987649958586,7.12365636539502,10.4578764758121,2.34599740831846e-08,5.27438839170083e-06,9.6117515063438
"UTP4",1.24460750986605,7.89818694008886,10.3275489078557,2.77789312731598e-08,5.97795406304156e-06,9.44613061837501
"UBE2S",1.38122050104939,8.29431540590401,10.3234298269588,2.79284326580833e-08,5.97795406304156e-06,9.44086620183227
"ANAPC1",1.04483245640158,8.08120676474568,10.1913278499918,3.32035129334622e-08,6.65341882568824e-06,9.27105261608663
"WDR77",1.10093376766413,7.24733282726849,10.1470319618616,3.52001758781975e-08,6.76761256972176e-06,9.21368322257325
"PPM1H",1.75079935409905,6.58627661627107,10.14680867958,3.52105559477985e-08,6.76761256972176e-06,9.21339349250133
"C12orf29",1.05723799127499,6.51157290896467,10.0986478480853,3.7526874848129e-08,6.9985763825679e-06,9.15077129151826
"WDR43",1.14105835229288,6.97006064261851,10.0268053827874,4.12860742780316e-08,7.56451311056739e-06,9.05687748509093
"NOP58",1.17935275512905,8.49827839884731,10.025378163812,4.13646660856042e-08,7.56451311056739e-06,9.05500635991885
"ZNF239",1.73280489622186,5.91328028690576,9.95409996351248,4.54978949474991e-08,8.04555268936245e-06,8.96126792882218
"EXOSC5",1.04578326905388,7.04066481158868,9.93942879209746,4.64015382926431e-08,8.09277199333542e-06,8.94190283321702
"POLR1E",1.01329954607015,6.15006033641969,9.91851387329611,4.7722667673888e-08,8.16001632615064e-06,8.91425432347415
"IFITM1",1.46631071659844,11.7143233162155,9.82860078448038,5.38715559432775e-08,8.73736043526526e-06,8.79482837952349
"HSPH1",1.80391361661894,8.53508548253205,9.81683523212865,5.47360655851189e-08,8.73736043526526e-06,8.77913278704103
"GTPBP4",1.17842142425488,7.66350648495255,9.73908788693067,6.08299591218136e-08,9.31539113836164e-06,8.67501664478028
"S100A11",1.60773204530475,9.76417961477216,9.71443788060041,6.29084708147188e-08,9.5559996473068e-06,8.64186108986282
