"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GCNT2",-1.82019015113737,5.65575681664623,-16.7851977150656,1.75402657992562e-12,1.95301159559509e-08,18.6249327142401
"MMP28",-2.3326638180746,7.28739743433481,-15.7299562409536,5.28898621503285e-12,2.06277493982587e-08,17.6054400341058
"ST6GALNAC6",-2.36518037062274,7.75543788486241,-14.7281952891273,1.60346780885664e-11,3.16447076800836e-08,16.5669373550484
"FOSL2",-1.04935122930886,7.39094917775609,-14.5899526764249,1.87813967579803e-11,3.16447076800836e-08,16.4178315549977
"PINK1",-1.01094983721548,9.14627445511917,-14.4509805200768,2.20454327491707e-11,3.35389765803276e-08,16.2664636190994
"TP53INP2",-2.55688406393775,9.29508101076087,-14.196981710693,2.96475933682186e-11,4.09688230564111e-08,15.9859201672992
"STX12",-1.15952600443183,9.68494815132295,-14.030195037478,3.6102871780025e-11,4.52326509436913e-08,15.7989182820028
"C10orf54",-1.43380480936039,6.93527271248656,-13.8158148609931,4.66413234157877e-11,5.22849235490981e-08,15.5552436622687
"SMPD1",-1.11622213696539,6.30592336308321,-13.6280348333547,5.85316521454597e-11,5.66666208657339e-08,15.3386865311214
"ZZEF1",-1.04030745682752,6.89216341887597,-13.4254179147505,7.50030214376664e-11,6.40341964628085e-08,15.1016874577438
"SGK1",-2.88923105046178,11.0430250048786,-13.3613379687265,8.11739191744134e-11,6.40341964628085e-08,15.0260031151107
"EPB41L3",-2.85232235597628,6.64324496296082,-13.2406082964215,9.42934265484672e-11,7.1726989001993e-08,14.8824439670504
"THRB",-2.08004808228185,6.44855795403826,-12.8154594264648,1.61269285647873e-10,9.57235084638156e-08,14.3666441050068
"LPAR1",-1.46882006839248,6.96020158323418,-12.7915215769481,1.66288079870472e-10,9.57235084638156e-08,14.3371179613697
"FAM189A1",-1.06262940647643,5.34688916600872,-12.6881287197621,1.89924344968642e-10,1.06452595354924e-07,14.2089840209881
"HIGD1A",-1.83037643246494,11.3154524281101,-12.6547703678847,1.98282464074284e-10,1.08287646213287e-07,14.1674328630496
"DENND2A",-1.02939878672566,6.06286567636415,-12.3369560624872,3.0026160729803e-10,1.45347090314562e-07,13.7663363900049
"CPM",-2.03575511438983,6.3319998358879,-12.3082876742039,3.11844753248053e-10,1.46450100556856e-07,13.7296843968085
"CHGA",-1.98872805825013,8.18208454704892,-12.1978202790468,3.61050548046043e-10,1.63617353677291e-07,13.5877136823471
"SCARA5",-2.0155043763911,6.21053746521797,-11.8462229289124,5.79663979090869e-10,2.42102906735316e-07,13.1278931354087
"SPIB",-1.91247843122346,6.13430887932031,-11.7254139722077,6.83803341714465e-10,2.6078370034086e-07,12.9670496535976
