"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUS4L",1.14339042080781,6.05001667637973,16.582792328411,2.15715536469732e-12,1.95301159559509e-08,18.4349678778874
"MYC",2.92570430919085,9.62576212558577,16.2807048844026,2.94978938000329e-12,1.95301159559509e-08,18.1466024144418
"WDR75",1.28011014106081,7.3123401322261,15.5103091726198,6.70918936778663e-12,2.06277493982587e-08,17.383867554077
"CLDN1",2.7354473344971,6.53469246773249,15.5007578884122,6.77939085345842e-12,2.06277493982587e-08,17.3741563332545
"HILPDA",2.37566334216519,7.80972781022774,15.3007050384681,8.44179211229819e-12,2.24752162749799e-08,17.1692738103323
"MTERF3",1.75564105234764,8.8529569531854,14.7040445075329,1.64822550935462e-11,3.16447076800836e-08,16.5409934411575
"TRIM59",1.91812701679181,5.76479086259588,14.6423748811257,1.76857619114229e-11,3.16447076800836e-08,16.4745443380619
"FOXQ1",5.54620887783985,8.67527210280773,14.5655929546962,1.93145781417478e-11,3.16447076800836e-08,16.391406517665
"AXIN2",1.05367869607504,6.65871045791483,13.7388237254125,5.11763940690776e-11,5.45003008638641e-08,15.4668092261931
"ENC1",2.54814159263721,9.0502827774362,13.4550780632473,7.23154338666843e-11,6.40341964628085e-08,15.1365992864213
"DIEXF",1.40916572668316,7.3377358621702,13.3688699402086,8.04217277244585e-11,6.40341964628085e-08,15.0349174361836
"PLEKHA8P1",1.14696330444005,6.65570779445537,13.186730591864,1.00849907999072e-10,7.40690410507666e-08,14.8179675717996
"IRF2BP2",1.08176266556624,9.10824838929975,13.0007867963392,1.27405536350374e-10,8.53706959413074e-08,14.5934753189535
"NOL8",1.10940153917125,7.47143585360236,12.9954859407974,1.28262466318693e-10,8.53706959413074e-08,14.5870303771502
"PPAT",2.18576853068271,7.25670905472051,12.9094389226439,1.43051891638636e-10,9.23291587882214e-08,14.4820584438463
"ASCL2",2.24838751196505,5.77252255830134,12.8151263057994,1.61338025985869e-10,9.57235084638156e-08,14.3662335765101
"RBM12B",1.05922398767272,5.62508107887622,12.4330467308539,2.64619980116766e-10,1.40903523912675e-07,13.8886136529425
"SLC11A2",1.20881106860781,6.67480897787045,12.3686530032073,2.87978500454347e-10,1.43787980724202e-07,13.8067687039508
"FMNL2",1.04114265725767,6.09456292672721,12.3625814999581,2.90289833848569e-10,1.43787980724202e-07,13.7990313895137
"ZC3H8",1.16223948792925,6.54885370785095,12.0255122645401,4.54713409201632e-10,1.97651855154807e-07,13.363895313589
"C19orf48",1.48126792723701,8.59298147490805,11.8319157580107,5.91077099874943e-10,2.42102906735316e-07,13.1089217480659
"FAM60A",2.08685538312759,8.82222545149795,11.7657810853586,6.46980211492917e-10,2.60000594803541e-07,13.0209583489636
"ORC3",1.52796574883661,7.46655242730263,11.7249149347902,6.84272078959245e-10,2.6078370034086e-07,12.966382171772
"AJUBA",1.75774620924536,5.45250704456312,11.7105558446708,6.97904639627636e-10,2.6078370034086e-07,12.9471654661242
"CBX3",1.41793365421494,8.63466055029602,11.6612690809222,7.46904617489214e-10,2.6513869079838e-07,12.8810450796756
"BRIX1",1.49737249061211,7.56836874778785,11.6165921160405,7.94441276376654e-10,2.72713388684528e-07,12.8208938710385
"HAUS3",1.09356383524005,7.63294847574452,11.6101473942146,8.01555990425617e-10,2.72713388684528e-07,12.8122000299933
"NOP58",1.00205812220503,10.9231157842128,11.4633824463071,9.83028146953538e-10,3.05702236359134e-07,12.6130526918901
"CRNDE",2.73399782538143,5.89037834603687,11.4604075182375,9.87123685622991e-10,3.05702236359134e-07,12.6089928034991
"ZNF623",1.44230537861348,6.47822173894005,11.4570609285143,9.91752269051348e-10,3.05702236359134e-07,12.6044246020824
"DPY30",1.10625155195587,9.71087930100124,11.4510344868161,1.00014474438421e-09,3.05702236359134e-07,12.5961953635898
"CDK4",1.6186124132314,9.53668546740145,11.4358790644694,1.02158097580948e-09,3.06459904278395e-07,12.5754835004336
"ZFAS1",1.91695912157897,9.16082136950769,11.3386507343509,1.17106977547175e-09,3.31955031794554e-07,12.4420341784315
"NELFCD",1.80008684690231,9.51145054587633,11.330563459363,1.18449609917771e-09,3.31955031794554e-07,12.4308891789072
"RAE1",1.10336449101856,7.39480395870386,11.2911851097209,1.25221528650249e-09,3.42278463024666e-07,12.3765231685652
"NOLC1",1.22646889135186,8.73354422541678,11.2904750708428,1.25347293844424e-09,3.42278463024666e-07,12.3755413731193
"PRIM1",1.66565810039111,7.76583423249291,11.2567337442985,1.31478946686695e-09,3.50046260684989e-07,12.3288242083054
"LOC105378604",2.37058119780345,6.80280864259684,11.2400288975796,1.34630201664129e-09,3.54010946326455e-07,12.3056502904797
"UTP20",1.2699512972634,7.66929931454312,11.2062613895933,1.41244340939309e-09,3.66873563130043e-07,12.2587149739054
"C10orf2",1.27036465594639,7.79121365258194,11.1526439817632,1.5245508449189e-09,3.86564386261042e-07,12.1839378908755
"IRAK1BP1",1.7285470038522,4.97048658506429,11.0505723519956,1.76451570613145e-09,4.23950982430876e-07,12.0407268821544
"CEMIP",2.1128168218046,6.60672634560533,11.0266083821638,1.82639312335305e-09,4.23950982430876e-07,12.0069404128268
"NUDCD1",2.09979228673016,7.15739872816963,11.0193198201939,1.8456605416836e-09,4.23950982430876e-07,11.9966519508668
"LYAR",1.54997204256511,7.57547111416261,10.9096482634103,2.16274675999175e-09,4.53532707688307e-07,11.8411380915297
"LTV1",1.25002528722884,6.51604754667691,10.9043216456574,2.17953099492531e-09,4.53532707688307e-07,11.8335512832371
"MACC1",1.81180066485606,6.15029820241602,10.9013994335172,2.18879682114188e-09,4.53532707688307e-07,11.8293877874008
"CCNB1IP1",1.83249023142677,8.68534783763425,10.8933494356612,2.21453596880529e-09,4.53532707688307e-07,11.8179134706683
"SOX4",1.36964192101605,7.68287169744862,10.8608153890765,2.32183466198905e-09,4.66535438355706e-07,11.771467022566
"POLR2K",1.06883372203753,8.83418145062547,10.8365350156385,2.40545293915041e-09,4.7642343561303e-07,11.7367272777436
"CDH3",2.7617858275365,7.83199854691045,10.7527085357202,2.71921779162124e-09,4.91833252178314e-07,11.6162859330607
"DDIAS",1.44297853082035,6.85805896392337,10.7176172053988,2.86303121540181e-09,4.99833621777403e-07,11.5656335355665
"HOMER1",1.73901123941036,6.05515487251539,10.7119444775979,2.88701737110034e-09,4.99923438919237e-07,11.5574322807397
"C12orf29",1.58107033879681,7.24340121364489,10.6990572286407,2.94229426444026e-09,5.0013109352728e-07,11.5387872935238
"THUMPD2",1.10613040483121,7.16781172383077,10.6937224738037,2.9654997760039e-09,5.0013109352728e-07,11.5310636156331
"THNSL1",1.13493226881754,5.44412676540724,10.6923552500012,2.97147782400782e-09,5.0013109352728e-07,11.5290836277714
"POT1",1.32658021424251,7.2481203600858,10.6797274627706,3.02729171624654e-09,5.0013109352728e-07,11.5107863421022
"PROCR",2.22044369673597,7.85872615024119,10.662549567881,3.10498493923116e-09,5.04832627638813e-07,11.4858671992795
"SSB",1.553789338227,8.62614180660439,10.6545978632916,3.14165361887457e-09,5.05793488469969e-07,11.4743207575519
"NFE2L3",2.34686625611139,7.04665841406223,10.5942561484937,3.4351261168792e-09,5.30179356256595e-07,11.3864668658106
"RNF113A",1.03455428859263,8.67719932994027,10.5852354363875,3.48140635261993e-09,5.33456646794618e-07,11.3732977253299
"DKC1",1.71912976430518,10.2319950249071,10.5614938311156,3.60635825108817e-09,5.40928340774133e-07,11.3385935769805
"TGS1",1.05347588136104,6.78134588635816,10.551548962583,3.66008510001024e-09,5.4514791989593e-07,11.3240376207643
"CCDC59",1.10164865755078,8.68866030658666,10.4799672183588,4.07239462413277e-09,5.98192642064854e-07,11.2189320140738
"XPOT",1.57921201957555,9.41925884390403,10.4196706983215,4.45738636447673e-09,6.37166927362348e-07,11.1299398156033
"VSNL1",2.7650697835983,6.88606086765811,10.3928494878468,4.64070698464578e-09,6.58949453773137e-07,11.0902191746994
"GLO1",1.1736401695093,11.0808193265503,10.3559501664819,4.90590355746408e-09,6.76339839200543e-07,11.0354371031559
"C8orf59",1.2943092748457,7.26669069064038,10.3495213011975,4.95370744707661e-09,6.76339839200543e-07,11.0258763890231
"PPIL1",1.70011828840726,7.71878370099961,10.2967793694116,5.36477958607818e-09,6.962871693027e-07,10.9472591014294
"SLC7A5",2.26332509122194,7.82389659494731,10.2916202009021,5.4068638302678e-09,6.962871693027e-07,10.9395513823764
"MRPS23",1.7177034422519,9.20095229424782,10.286212505875,5.45134637126399e-09,6.962871693027e-07,10.9314690246186
"XPO5",1.28190633049208,7.49629634429814,10.2773841469433,5.52479138044774e-09,6.962871693027e-07,10.9182667729167
"KNSTRN",1.2338050413835,7.55073623233916,10.2358207465194,5.88474388541551e-09,7.16223771516943e-07,10.8559884903194
"CPSF3",1.185189430126,9.20283948575833,10.1766170468378,6.44039233318343e-09,7.4958424210095e-07,10.7669270118956
"RAD54B",2.22412779611556,6.24481457151416,10.1490098420709,6.71800966839237e-09,7.66312498580078e-07,10.7252552573924
"SNHG17",1.47720060322715,8.75748221672233,10.1410850086882,6.79999353169796e-09,7.66312498580078e-07,10.7132764146042
"AASDHPPT",1.03414078556234,6.85762952486524,10.1017516471951,7.22267941420994e-09,7.99572523256663e-07,10.6537113688189
"DPEP1",4.13906055848704,8.14897021510575,10.0949616472219,7.29838552116969e-09,7.99572523256663e-07,10.6434102028187
"TRIT1",1.04450877467926,8.55406758821266,10.0896741292179,7.35791420058716e-09,7.99572523256663e-07,10.6353846598096
"NOC3L",1.39471880056259,8.67033323090606,10.0822275368664,7.44261323317757e-09,8.04671163723092e-07,10.6240763598229
