"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"APPL2",-2.41994140817835,8.18515523800791,-39.9566874398316,1.56729306451685e-15,3.33817749811443e-11,24.5346408060844
"ETHE1",-2.32676923197807,10.1780959102185,-35.9483614582274,6.54529790749802e-15,6.97041500659002e-11,23.4990711755566
"PRDX6",-1.77590430390619,10.5633973121433,-30.6945186238554,5.51148771586283e-14,3.91297256200541e-10,21.8320260802415
"ABCG2",-6.02961138378576,6.91184182202837,-27.8524757706214,2.03441623875363e-13,1.08327578673034e-09,20.7448081071909
"HPGD",-4.41037560787483,8.18038898737438,-25.3652913855052,7.12501748699011e-13,3.03511494910805e-09,19.660131252178
"SLC1A1",-2.31722541943015,7.00583433883587,-24.8610828978704,9.3192832627954e-13,3.30819023690465e-09,19.4229796694116
"P2RX4",-2.03537530300982,8.37755841715929,-23.9105932184148,1.56849760658822e-12,4.77249007467464e-09,18.9585648999877
"AHCYL2",-3.28698064018563,8.35935255689665,-23.5139615729352,1.96059604926027e-12,5.21984190664931e-09,18.7577509543045
"HIGD1A",-2.35387716734425,9.74831338555687,-22.9119553958428,2.77008217687e-12,6.4081540742044e-09,18.4446688038054
"AQP8",-6.74112602194478,8.62869011529888,-22.7702427997697,3.00866429137725e-12,6.4081540742044e-09,18.369473735158
"SPIB",-2.01721724991678,5.34902143959207,-22.373010780662,3.80273364202822e-12,7.36312944014173e-09,18.1555682678899
"GCNT2",-2.30294400180794,4.77105720148568,-22.1325507148676,4.39045777213472e-12,7.79269667405812e-09,18.0237970610006
"SLC4A4",-4.06347795200954,6.13144417396062,-21.8241550418247,5.29061364199653e-12,7.97316577877119e-09,17.8522108953733
"TSPAN1",-2.96679533761132,10.7554516650536,-21.7095689737097,5.67384464897192e-12,7.97316577877119e-09,17.7877034228844
"CDKN2B",-3.40387788223003,6.52269965300522,-21.5934980034338,6.09252956942878e-12,7.97316577877119e-09,17.7219376701955
"SLC17A4",-1.88778918289187,4.77690135336956,-21.4385068692057,6.70397037199737e-12,7.97316577877119e-09,17.6334501516298
"MIER3",-2.36609895327875,6.51450617498325,-21.3805344997175,6.9492917075419e-12,7.97316577877119e-09,17.6001540480547
"GUCA2B",-5.07663378347526,7.33401022556403,-21.2078805367674,7.73862924423051e-12,7.97316577877119e-09,17.5003442302817
"PLS1",-1.82931076181523,10.9731277562554,-21.1827644460703,7.86123674135852e-12,7.97316577877119e-09,17.4857435574071
"CCDC68",-2.92497716717468,6.66985550532618,-20.7767026168845,1.01610081756314e-11,9.8372415060351e-09,17.2467764568988
"TUBAL3",-3.46077794854049,6.72599616270037,-20.3580404340644,1.33049060117896e-11,1.23209214410916e-08,16.994514764818
"PKIB",-4.99111282673935,7.09727598077423,-20.1535519437099,1.52062077643919e-11,1.34948757989076e-08,16.8690691950445
"C2orf88",-3.78887089966177,6.72509659527846,-19.8955617619018,1.80302246823092e-11,1.3887700263767e-08,16.7086596429498
"SOCS6",-1.76412000963824,6.00356971985056,-19.8708077405446,1.83293368755875e-11,1.3887700263767e-08,16.6931409872697
"CASP7",-2.11777114240138,9.0459205501565,-19.8308697494633,1.8823182757961e-11,1.3887700263767e-08,16.6680558012343
"PDCD4",-1.82032191700008,7.6128694837634,-19.8240422196509,1.89090242569718e-11,1.3887700263767e-08,16.6637615273527
"MOB3B",-1.09714506476197,6.81610794956793,-19.2336504494236,2.8183829037807e-11,1.93641088605242e-08,16.2858128052895
"ADTRP",-3.49279950106542,7.6765310104332,-19.1044075538251,3.08039632739572e-11,2.05029254303755e-08,16.2012943139807
"DENND2A",-1.36617319520827,5.2083852053828,-19.0312577123591,3.24015321435219e-11,2.09127343371174e-08,16.1531677106148
"UGP2",-1.44764561282443,7.92864517374696,-18.8421055279117,3.69584843613625e-11,2.31523164239017e-08,16.0277372210504
"LYPD8",-2.31017678055733,6.44211933884491,-18.71806048842,4.03164815032998e-11,2.44763067137927e-08,15.9447012824853
"PDE8A",-1.32728083225208,7.05351991699911,-18.6610695092384,4.19674901716091e-11,2.44763067137927e-08,15.9063421986528
"ZBTB7C",-1.60256586087773,5.50324048599119,-18.6425478586274,4.25195243161805e-11,2.44763067137927e-08,15.8938472443625
"ETFDH",-2.81682609258431,6.44499087553332,-18.58088596904,4.44140783477193e-11,2.48940909138967e-08,15.8521480225338
"IL10RB",-1.79628828719199,7.97073613461621,-18.533823298287,4.59208353590460e-11,2.50786633926236e-08,15.8202163903703
"GUCA2A",-5.0024891731114,9.69560014704167,-18.1915353445059,5.86716756303193e-11,3.06030825412739e-08,15.5851988055252
"TRPM6",-2.85500744160314,6.48604234649564,-18.1859197869213,5.89101077136124e-11,3.06030825412739e-08,15.5813019053699
"SMPDL3A",-1.70938998471608,6.20764043907495,-18.1369695760561,6.1032963895389e-11,3.09509785239974e-08,15.5472760165798
"ABHD3",-2.65421260038902,9.09704158821491,-18.0693580796224,6.41008308803821e-11,3.17507813237502e-08,15.5001095426159
"PLD1",-1.00571562250101,4.92322622253883,-17.8296788651079,7.63776895220567e-11,3.67655779576763e-08,15.331311065022
"CLCA4",-7.61132330758087,9.20844614398422,-17.8067550993004,7.76774030750474e-11,3.67655779576763e-08,15.3150348194283
"HSD17B2",-5.14483954686291,7.67447692166245,-17.6112482388406,8.97737998134974e-11,4.15672209179931e-08,15.1752737112147
"TNFSF10",-1.79789035541609,8.80745562526316,-17.5414325487632,9.45694956681789e-11,4.28560784731179e-08,15.1249499436483
"SPPL2A",-2.0833055570541,8.40222392191551,-17.3640750462442,1.08029301752526e-10,4.69574713883072e-08,14.9961134141713
"SLC25A20",-1.71444118003503,7.87613827030254,-17.2543492277739,1.17372715419957e-10,4.89317703122545e-08,14.9156825541299
"PLCE1",-1.0786840990053,4.89270696868644,-17.2367794708761,1.18947482002457e-10,4.89317703122545e-08,14.9027517622047
"RETSAT",-2.39898280055046,8.39255655488972,-17.2008694083001,1.22236854643308e-10,4.89317703122545e-08,14.8762783119031
"GRAMD1C",-2.53702624851231,5.91483925277993,-17.1726828446765,1.24886923727511e-10,4.89317703122545e-08,14.8554565206411
"KIAA1211",-1.94011359049655,5.42097673662045,-17.1573363874319,1.26355573837926e-10,4.89317703122545e-08,14.8441042346475
"PHLPP2",-1.4138646019134,6.0041028954936,-17.014542425281,1.40941541773307e-10,5.36056053255299e-08,14.7379425519899
"DSC2",-2.18290179128919,7.91916420748034,-16.882165190359,1.56080802832709e-10,5.83221933251557e-08,14.6386587456953
"XDH",-2.08361347459156,6.94522896703295,-16.6722249918865,1.83771557402968e-10,6.74853517435487e-08,14.4794657374495
"CNNM4",-1.76473967961303,8.01937042981148,-16.6457985951067,1.87613567929019e-10,6.77284980223759e-08,14.4592744547318
"LINC00675",-1.40102477159308,6.56884609526582,-16.446888043516,2.19442958512113e-10,7.78985928891582e-08,14.306183846333
"RHBDL2",-2.39327649564247,5.56853802915032,-16.3064507828017,2.45372118401112e-10,8.44283961529611e-08,14.1969008878691
"EPB41L3",-3.45282429837903,5.87446525123088,-16.3044441128917,2.4576555526004e-10,8.44283961529611e-08,14.1953321190897
"WSB2",-1.25741809007037,9.28025667920347,-16.2569025517582,2.55286952161003e-10,8.63072506996383e-08,14.158105053782
"GBA3",-3.56002738389237,5.23219907692949,-16.1584372969297,2.76285492140267e-10,9.13505353608685e-08,14.0806336243464
"CHP1",-1.67545534857394,8.03071607849769,-16.0582687827391,2.99555073284084e-10,9.66700531193591e-08,14.0013073019678
"CWH43",-3.68024388316396,6.11185856251927,-15.8906146518543,3.4332222412222e-10,1.07678390995738e-07,13.8673612283723
"PPP2CB",-1.10615582505739,6.74627238480538,-15.8889909688205,3.43778139241756e-10,1.07678390995738e-07,13.8660567351854
"RBM47",-1.32412474342725,7.94668289594744,-15.862938170485,3.51182765781353e-10,1.08403503309812e-07,13.8451063170676
"CA12",-2.61349538569842,7.82250694019421,-15.7259196751129,3.93038030671834e-10,1.16715847889526e-07,13.7343249659157
"F2RL1",-1.71399583214139,9.42992152291483,-15.7197347620491,3.95049038753263e-10,1.16715847889526e-07,13.7293005538274
"SLC51B",-3.537767107916,7.68333886000666,-15.7074353833123,3.9908092628287e-10,1.16715847889526e-07,13.7193028113369
"FLJ36848",-2.67618494232837,5.48200137766484,-15.7045569846637,4.00030841632723e-10,1.16715847889526e-07,13.7169618777917
"PLCL2",-1.62337876877165,4.77435326404534,-15.6461391230038,4.19841528343573e-10,1.1868644571936e-07,13.6693548777078
"HSBP1L1",-1.26588470528774,6.96404913255602,-15.6356681645652,4.23502036465158e-10,1.1868644571936e-07,13.6608020693986
