FileName	patients	group
GSM452629.CEL	1	C
GSM452630.CEL	2	C
GSM452631.CEL	3	C
GSM452632.CEL	4	C
GSM452633.CEL	5	C
GSM452634.CEL	6	C
GSM452635.CEL	7	C
GSM452636.CEL	8	C
GSM452637.CEL	9	C
GSM452638.CEL	10	C
GSM452639.CEL	11	C
GSM452640.CEL	12	C
GSM452641.CEL	13	C
GSM452642.CEL	14	C
GSM452643.CEL	15	C
GSM452644.CEL	16	C
GSM452645.CEL	17	C
GSM452646.CEL	1	T
GSM452647.CEL	2	T
GSM452648.CEL	3	T
GSM452649.CEL	4	T
GSM452650.CEL	5	T
GSM452651.CEL	6	T
GSM452652.CEL	7	T
GSM452653.CEL	8	T
GSM452654.CEL	9	T
GSM452655.CEL	10	T
GSM452656.CEL	11	T
GSM452657.CEL	12	T
GSM452658.CEL	13	T
GSM452659.CEL	14	T
GSM452660.CEL	15	T
GSM452661.CEL	16	T
GSM452662.CEL	17	T
