"","logFC","logCPM","PValue","FDR"
"BEST4",-5.84726833301574,2.97802293882334,0,0
"CUBN",-4.91808328629869,1.28549501121239,0,0
"CLEC3B",-4.24357456599663,2.52507289697711,2.03656823609637e-318,2.14471000943309e-314
"CPO",-6.05142512282279,-0.4792555469634,4.80091115363424e-280,3.79187965191916e-276
"SLC25A34",-3.93364439603618,1.30936682632829,2.93705222248862e-266,1.85580581730166e-262
"SLC51A",-4.04193590304177,3.06450446294424,1.34644664684498e-247,7.08971481896225e-244
"PHLPP2",-2.59775020708399,4.61937635278448,5.14296969915934e-235,2.32116916722202e-231
"CA7",-5.68990429277627,3.37762427253487,2.87332455800789e-234,1.13471178451429e-230
"TEX11",-4.12489391684414,-0.272455994217828,1.31894735645348e-233,4.62994487027052e-230
"ABCG2",-4.67648178003777,3.17852293142629,1.37389613334194e-230,4.34055005406719e-227
"MGAM",-5.02015185836116,1.88623670061314,1.34424994434138e-221,3.86080804468883e-218
"MS4A10",-7.31901343482959,-0.277083181552007,8.66433809100191e-220,2.16851939761296e-216
"PRKG2",-3.97724330098774,0.992593851025239,8.9231007403439e-220,2.16851939761296e-216
"CA2",-4.80817889905687,7.23331593076619,2.12480862590787e-208,4.79493420845052e-205
"PEX26",-1.74382734122712,6.2847582435535,3.17171761201322e-199,6.68027163442224e-196
"C2orf88",-3.66138405474946,4.03512195546307,3.12811845669471e-197,6.17666540014726e-194
"GLP2R",-3.94292777182901,0.892077144526921,4.61128668135891e-197,8.56966941906895e-194
"OTOP2",-8.10932692351251,2.92461524967336,1.9627621543744e-196,3.44497470795279e-193
"UGP2",-2.12769533897126,6.91433248269435,4.85649066134146e-196,8.07532155072426e-193
"USP2",-3.81256427417076,2.41261050514976,8.20533410997125e-195,1.29615560268161e-191
"MEP1B",-5.54591687267872,1.93032979172066,1.54084780096541e-192,2.31809545599525e-189
"SPIB",-4.71191135068969,2.72050572427979,2.91093456574823e-186,4.18023435162198e-183
"AQP8",-6.86897769066023,6.50427907192795,1.76889328078483e-183,2.42976719216675e-180
"PKIB",-3.95493854690967,4.23683151730707,7.85736491781756e-183,1.03432387436921e-179
"SCARA5",-4.72448563974974,3.41319612609121,2.14561791968589e-182,2.71146027746546e-179
"ASPA",-3.9593076791121,0.0122507009097277,1.5504884816065e-181,1.88402240766901e-178
"APPL2",-1.82269749426803,6.05091522255575,1.07956585759751e-180,1.26321200515104e-177
"GCNT2",-3.7350843003301,1.76328911002632,2.06347421748461e-180,2.32826217689255e-177
"PLP1",-5.56483378220235,1.68941238278304,4.08251599559363e-179,4.44754923616515e-176
"GLTP",-1.59516251322821,5.39853251425686,1.6182920612447e-176,1.7042233696968e-173
"VEGFD",-4.48398157900974,-0.772948814983292,2.09851038054492e-175,2.13865285330825e-172
"DHRS7C",-5.0964845986134,-3.12964792342632,6.29805112172364e-173,6.21794778401922e-170
"SULT1A2",-3.78063252055774,1.54251540797526,1.96030962692733e-171,1.87672915283379e-168
"FAM107A",-3.48960475352134,2.22246450286314,7.86934004920869e-171,7.3122370639603e-168
"IL6R",-2.75281070052391,4.12210469443208,1.30889908472487e-170,1.18148710810608e-167
"SLC22A5",-1.82074666093613,4.76752653111502,4.42157502734347e-170,3.8803005510795e-167
"LYVE1",-4.19766616286298,2.71353290177618,3.47827482998152e-169,2.96997666766503e-166
"CDKN2B",-3.20277542565596,4.62799047576052,1.33800701235172e-168,1.11241198792705e-165
"DPP6",-5.17698416490473,0.555221783856979,9.01828073195158e-168,7.12286357911366e-165
"PYGM",-3.96130361206627,1.16782251882063,1.77174940492926e-167,1.36524094999829e-164
"AC016027.1",-2.35890992600602,1.0435513996348,5.11311076515999e-167,3.84615496199285e-164
"RBFOX3",-4.86951390325715,1.15183565410383,8.22101808803878e-167,6.04015405710254e-164
"SLC51B",-3.99311155866988,3.34512180317636,1.60939460359282e-165,1.15558190252972e-162
"CCDC69",-3.00115146049141,4.74898952061309,2.17729448831425e-165,1.52860588376249e-162
"CSRP1",-2.30443674425941,8.21461005350025,2.20338126966994e-161,1.51329183592788e-158
"MAMDC2",-4.78553918878307,1.76536212396043,3.47914486216431e-161,2.33865156660334e-158
"SLC36A1",-1.97191400188165,4.88550163793466,8.10022978368167e-161,5.33146999074698e-158
"PDK4",-3.32586238828564,4.89592402864344,1.15876404708192e-160,7.47119031417534e-158
"GUCA2A",-5.11023216367713,5.89483556893626,4.08876817343088e-160,2.58352905806404e-157
"CLDN23",-2.95329976191896,4.65665123360189,4.79887461002011e-160,2.97276167753658e-157
"GFRA2",-3.6371941887637,0.342465803745142,1.12282062250516e-159,6.82178306284724e-157
"CMTM5",-4.6892708471771,-2.44094890055246,1.74932422802249e-159,1.04276227048895e-156
"ADAMDEC1",-3.64414041582552,5.44537701208398,3.64248723509926e-159,2.13105739293502e-156
