"","logFC","logCPM","PValue","FDR"
"CDH3",5.76659930223863,6.57587667957774,2.77342320127918e-168,2.24668613328239e-165
"ETV4",5.29881251440286,6.88394779601341,7.78389953799622e-147,3.36872243977965e-144
"KRT80",6.65912174934307,5.37357481195349,2.27296442875937e-142,8.65177893949335e-140
"ESM1",5.53756296189263,2.8709162911176,2.48532569509972e-127,6.65414361739707e-125
"AJUBA",2.98058552963977,4.63342910763612,4.18791442399844e-122,9.38360144662288e-120
"MTHFD1L",2.35854530006316,5.66279556268349,2.43576754172681e-117,4.87045594593514e-115
"CLDN1",4.83698730108673,6.63438527699221,2.60981778983554e-107,4.12259867171372e-105
"FOXQ1",6.47092039898069,5.50398235841914,3.84426645086953e-106,5.92448341377176e-104
"NFE2L3",2.66627956157996,7.08155799330406,8.76581629021088e-104,1.25881106389378e-101
"WNT2",5.45425768530585,3.21006624962868,1.20433061099287e-99,1.50985781718642e-97
"GRIN2D",5.00404074942757,5.32285064400742,2.03590973968469e-99,2.51251939085384e-97
"CEMIP",5.21786718731475,7.19219897226962,1.26944971964207e-96,1.4583899997328e-94
"LRP8",2.87415559354175,4.55836128757744,1.03025493196637e-89,9.65841070196243e-88
"PVT1",2.82320338842615,3.88184066563456,2.04943739911774e-87,1.77878779533865e-85
"ENC1",2.01447426100195,7.38868290877736,2.37470989979978e-84,1.96913936651901e-82
"TRIB3",3.85613677955527,6.44171809665985,1.22095703583237e-83,9.74083223056874e-82
"SIM2",4.50112690806078,3.98119259721476,1.50417113359422e-83,1.19400197546839e-81
"MAFG-DT",3.05146868750187,2.57790596345254,3.24948120788122e-83,2.55375273135799e-81
"SLCO4A1",3.49258856929002,6.2765261664156,4.64179617010829e-83,3.63891479906281e-81
"EPHX4",4.4347707798578,2.95126460204334,5.29446730867907e-80,3.83642444227289e-78
"TRIP13",2.2170863372616,4.80197055230965,1.31598779469846e-79,9.47061558038918e-78
"SPTBN2",3.07317786479002,5.31631207179362,1.48645034197206e-77,1.01428565127264e-75
"GTF2IRD1",2.22537328937223,6.2442276758785,1.50783213108194e-77,1.02665820080327e-75
"C6orf223",4.57399133425565,5.31488139897899,2.4745368646039e-76,1.63895268686438e-74
"IQANK1",2.88496419409948,5.19251049196511,4.0621593095228e-76,2.65156609639987e-74
"KIAA1549",2.30125609510531,4.83386155681593,6.48771962862898e-76,4.18299033116888e-74
"FUT1",2.87475434553044,3.20498736118118,4.58441079967402e-75,2.87371607924804e-73
"BLACAT1",5.35187629238795,2.52890670601562,2.36172317480785e-74,1.44600620662218e-72
"MDFI",3.63945622376829,3.91549120850687,4.95363593426389e-73,2.95283434096602e-71
"CPNE7",5.78661485120878,5.01703452442201,8.78381328229273e-73,5.20651056336724e-71
"PDX1",4.71789605342668,4.26263217488103,2.74435778151891e-72,1.60560176650976e-70
"PPM1H",2.28617969057915,5.55904822031315,1.70666812615854e-71,9.78561998361646e-70
"OTX1",5.60843998644087,1.58340374727527,1.71695785412819e-70,9.60068132486228e-69
"DDX31",1.14474969491141,4.46364083186625,7.68423663691021e-70,4.15698780941617e-68
"TMEM206",1.54923202700754,3.49379002319075,8.03772464821246e-70,4.33337602066512e-68
"PLEKHN1",3.45692365068386,2.16380527042402,1.51858492259634e-69,8.10416443574089e-68
"NEBL",2.29718808250237,6.60819550060648,6.15057655563074e-69,3.21713849539805e-67
"DDN",4.52753170030827,1.80017732881912,6.7838256028689e-69,3.53665680315903e-67
"SALL4",4.92916363881911,1.95353735488999,8.79153732423102e-69,4.56827366257287e-67
"TEAD4",2.31977090696804,4.91940786629613,2.30366902016795e-68,1.17576438375066e-66
"CBX8",1.73375768305259,4.00277168952098,2.35217663055451e-68,1.19858574659852e-66
"INHBA",5.18874833661601,5.30842209777603,2.55124813324344e-67,1.26334768453856e-65
"LINC02163",7.20908097351907,-0.571908579957392,1.20235271854862e-66,5.86202614770162e-65
"LARGE2",4.50024670048126,5.44928672918812,1.34111711727766e-66,6.51844816710049e-65
"CGREF1",3.46518778978502,4.80765005767774,1.88012281346173e-66,9.09628178341445e-65
"OSBPL3",1.82736926002088,5.40414048360899,1.97928519758211e-66,9.54680263316206e-65
"KIAA1257",3.44172975783146,2.24430561461665,2.17085599160914e-66,1.04230780156394e-64
"SLC39A10",1.91030064230122,5.32574773052418,5.12309830675804e-66,2.42296474259591e-64
"LINC02577",6.42439663927565,0.847266434270063,2.53255553795486e-65,1.18359507560071e-63
"SPATA12",3.10159329031098,0.191801255894045,5.73583794194825e-65,2.64543544671491e-63
"ZC3HAV1L",2.12707257097599,3.01666301936267,1.06288833493646e-64,4.85257675804156e-63
"CRNDE",4.59696953946988,2.14313191174398,1.38440035975309e-64,6.29314540513373e-63
"CBX2",3.65846631659015,4.04027654568392,1.53422635782745e-64,6.96419731650039e-63
"SLC7A5",3.05575968430515,7.66474754299422,1.24021101761947e-63,5.54200660249672e-62
"ORC6",1.98724978490738,4.01588524590359,1.25232422544047e-63,5.58823153309898e-62
"EPOP",3.72418263692906,3.99949122799111,1.29827541250677e-62,5.66525070543184e-61
"POLR1B",1.20962631070001,5.44243790370311,1.75066214538244e-62,7.60779493247145e-61
"SNHG15",1.79754763769994,4.8369999654381,3.03039426670305e-62,1.30970240859028e-60
"AC007128.1",4.86371383214651,-0.00235820848143565,4.89699022241067e-62,2.10204636000843e-60
"SLC6A6",2.89517323193591,6.96726389816199,7.54516102978963e-62,3.22127395154248e-60
"SH3TC2",3.27849172057259,3.50194531728959,4.50688371342675e-61,1.88840818512323e-59
"PUS7",1.68364221532293,5.08354443267506,5.76093318947708e-61,2.40429540627674e-59
"AUNIP",2.1877962552824,2.51069759357198,9.82220036052837e-61,4.07277985523331e-59
"ELFN1-AS1",4.88599592103541,3.17492426620327,1.71126609353858e-60,7.0395871996308e-59
"VWA2",4.02680116981869,4.57659957562409,6.08904389888869e-60,2.47581935518134e-58
"HILPDA",2.36075173744662,5.06307785200179,1.01301847421882e-59,4.08739369808367e-58
"TWNK",1.52865171731173,4.9418325262838,3.35481459435958e-59,1.34162857569117e-57
"RIPK2",1.53823375467442,4.7999479785241,6.4591046221784e-59,2.55397362113244e-57
"XRCC2",2.10540690472238,3.21778480466271,6.73742016427892e-59,2.6606914406258e-57
"CEP72",2.00881625644497,3.46621508734725,7.05487378072982e-59,2.7825796174107e-57
"MRGBP",1.65921016965132,5.4243321929738,8.45492951202296e-59,3.32648303951857e-57
"RHPN1",3.34405376317504,4.85875719366669,1.06379635231175e-58,4.16979133481204e-57
"URB2",1.24339841636183,4.73006691420364,9.06758869859152e-58,3.46818801155692e-56
"TFAP4",1.47357990833021,4.92114357720029,9.87408358319561e-58,3.77209096304594e-56
"DKC1",1.49036138078681,7.27301293467942,1.40228610921638e-57,5.32481070294148e-56
"TMEM132A",2.5552300133802,5.39698443922356,1.45812388812332e-57,5.52356211000959e-56
"TGFBI",3.29818567316387,9.91939978656126,2.86459301873451e-57,1.07483476533111e-55
"PRSS22",3.63288041667537,4.68160148677435,3.3329429038396e-57,1.24612621492313e-55
"FJX1",2.88292047932041,2.40957806693388,5.46654365422739e-57,2.02943024286728e-55
"EVA1A",3.7917548837057,3.24989749283572,5.80317429943578e-57,2.14683472648799e-55
"HJURP",1.68901797134323,4.70401106997542,1.24424801003249e-56,4.57619643550133e-55
"COL11A1",6.32899381286337,5.35536143507151,1.78594351350297e-56,6.54562800720411e-55
"CDC25B",2.22316773263055,7.39258514149502,2.15941031436203e-56,7.88696532504506e-55
"TTC26",1.66192198026047,3.26668664311357,4.08537171612494e-56,1.48355343250041e-54
"CFAP157",1.9605391065196,1.79948469014183,8.27712392818927e-56,2.98515041396443e-54
"LINC02418",8.16959403206321,4.22300428163453,9.31904818354323e-56,3.35708881713434e-54
"CASC19",4.27706451114381,0.403388517796876,1.72587125895273e-55,6.14717595085611e-54
"RUVBL1",1.36801138105727,6.19441084029917,1.81735775683595e-55,6.45846834777484e-54
"XPO5",1.26880090445185,6.32658679826246,2.16390613761592e-55,7.66415769122194e-54
