,logFC,logCPM,insert,PValue,FDR
BEST4,-5.847268333,2.978022939,NA,0,0
CUBN,-4.918083286,1.285495011,NA,0,0
CLEC3B,-4.243574566,2.525072897,NA,2.03656823609637e-318,2.14471000943309e-314
CPO,-6.051425123,-0.479255547,NA,4.80E-280,3.79E-276
SLC25A34,-3.933644396,1.309366826,NA,2.94E-266,1.86E-262
SLC51A,-4.041935903,3.064504463,NA,1.35E-247,7.09E-244
PHLPP2,-2.597750207,4.619376353,NA,5.14E-235,2.32E-231
CA7,-5.689904293,3.377624273,NA,2.87E-234,1.13E-230
TEX11,-4.124893917,-0.272455994,NA,1.32E-233,4.63E-230
ABCG2,-4.67648178,3.178522931,NA,1.37E-230,4.34E-227
MGAM,-5.020151858,1.886236701,NA,1.34E-221,3.86E-218
MS4A10,-7.319013435,-0.277083182,NA,8.66E-220,2.17E-216
PRKG2,-3.977243301,0.992593851,NA,8.92E-220,2.17E-216
CA2,-4.808178899,7.233315931,NA,2.12E-208,4.79E-205
PEX26,-1.743827341,6.284758244,NA,3.17E-199,6.68E-196
C2orf88,-3.661384055,4.035121955,NA,3.13E-197,6.18E-194
GLP2R,-3.942927772,0.892077145,NA,4.61E-197,8.57E-194
OTOP2,-8.109326924,2.92461525,NA,1.96E-196,3.44E-193
UGP2,-2.127695339,6.914332483,NA,4.86E-196,8.08E-193
USP2,-3.812564274,2.412610505,NA,8.21E-195,1.30E-191
MEP1B,-5.545916873,1.930329792,NA,1.54E-192,2.32E-189
SPIB,-4.711911351,2.720505724,NA,2.91E-186,4.18E-183
AQP8,-6.868977691,6.504279072,NA,1.77E-183,2.43E-180
PKIB,-3.954938547,4.236831517,NA,7.86E-183,1.03E-179
SCARA5,-4.72448564,3.413196126,NA,2.15E-182,2.71E-179
ASPA,-3.959307679,0.012250701,NA,1.55E-181,1.88E-178
APPL2,-1.822697494,6.050915223,NA,1.08E-180,1.26E-177
GCNT2,-3.7350843,1.76328911,NA,2.06E-180,2.33E-177
PLP1,-5.564833782,1.689412383,NA,4.08E-179,4.45E-176
GLTP,-1.595162513,5.398532514,NA,1.62E-176,1.70E-173
VEGFD,-4.483981579,-0.772948815,NA,2.10E-175,2.14E-172
DHRS7C,-5.096484599,-3.129647923,NA,6.30E-173,6.22E-170
SULT1A2,-3.780632521,1.542515408,NA,1.96E-171,1.88E-168
FAM107A,-3.489604754,2.222464503,NA,7.87E-171,7.31E-168
IL6R,-2.752810701,4.122104694,NA,1.31E-170,1.18E-167
SLC22A5,-1.820746661,4.767526531,NA,4.42E-170,3.88E-167
LYVE1,-4.197666163,2.713532902,NA,3.48E-169,2.97E-166
CDKN2B,-3.202775426,4.627990476,NA,1.34E-168,1.11E-165
DPP6,-5.176984165,0.555221784,NA,9.02E-168,7.12E-165
PYGM,-3.961303612,1.167822519,NA,1.77E-167,1.37E-164
AC016027.1,-2.358909926,1.0435514,NA,5.11E-167,3.85E-164
RBFOX3,-4.869513903,1.151835654,NA,8.22E-167,6.04E-164
SLC51B,-3.993111559,3.345121803,NA,1.61E-165,1.16E-162
CCDC69,-3.00115146,4.748989521,NA,2.18E-165,1.53E-162
CSRP1,-2.304436744,8.214610054,NA,2.20E-161,1.51E-158
MAMDC2,-4.785539189,1.765362124,NA,3.48E-161,2.34E-158
SLC36A1,-1.971914002,4.885501638,NA,8.10E-161,5.33E-158
PDK4,-3.325862388,4.895924029,NA,1.16E-160,7.47E-158
GUCA2A,-5.110232164,5.894835569,NA,4.09E-160,2.58E-157
CLDN23,-2.953299762,4.656651234,NA,4.80E-160,2.97E-157
GFRA2,-3.637194189,0.342465804,NA,1.12E-159,6.82E-157
CMTM5,-4.689270847,-2.440948901,NA,1.75E-159,1.04E-156
ADAMDEC1,-3.644140416,5.445377012,NA,3.64E-159,2.13E-156
PDCD4,-2.016985671,6.765732784,NA,1.36E-158,7.79E-156
SMPDL3A,-2.644520403,4.711930596,NA,5.65E-157,3.19E-154
TNXB,-4.023511184,3.954204243,NA,6.99E-157,3.88E-154
SCGN,-4.900122095,0.937664887,NA,9.29E-157,5.06E-154
CNNM2,-1.655176416,4.207716148,NA,1.66E-156,8.89E-154
POPDC2,-3.574493211,2.059638597,NA,2.00E-155,1.05E-152
BMP3,-5.223324866,2.72982236,NA,4.75E-154,2.46E-151
PTGS1,-2.92381638,4.605011917,NA,2.32E-153,1.18E-150
ABCA8,-4.513319515,2.298773042,NA,4.94E-153,2.48E-150
PLPP1,-1.953478024,4.784696901,NA,3.85E-152,1.90E-149
GRIK3,-3.744704291,0.487331504,NA,7.02E-150,3.41E-147
ENPP6,-3.425668718,-1.028152483,NA,8.72E-150,4.17E-147
TMEM100,-3.869249642,0.676133842,NA,1.41E-149,6.60E-147
NPTX1,-5.112380684,1.885588717,NA,1.42E-149,6.60E-147
RXRG,-3.987056801,-1.522891021,NA,8.23E-149,3.77E-146
TRPM6,-4.129679655,4.022654967,NA,1.72E-148,7.78E-146
RETSAT,-1.901245026,7.018222121,NA,2.60E-148,1.16E-145
CDKN2B-AS1,-4.927698635,2.420234331,NA,4.15E-148,1.82E-145
ETFDH,-1.862112215,4.449535383,NA,1.45E-146,6.20E-144
NAALADL1,-3.22712244,2.918171944,NA,1.56E-146,6.58E-144
HAND2-AS1,-4.876976648,1.413653474,NA,1.58E-146,6.58E-144
SGK1,-2.769778956,5.809605411,NA,3.92E-146,1.61E-143
FHL1,-3.404890666,5.420290133,NA,7.45E-145,3.02E-142
MPZ,-2.898724401,0.837779419,NA,1.36E-143,5.43E-141
ATP1A2,-5.013601344,2.434251186,NA,1.61E-143,6.36E-141
FAM129A,-3.298709494,4.516284728,NA,2.47E-143,9.62E-141
RERGL,-5.25093087,-0.818732814,NA,1.36E-142,5.23E-140
CA1,-6.513241744,6.627824701,NA,1.15E-141,4.33E-139
PLAC9,-2.602485037,1.282360157,NA,1.69E-140,6.26E-138
TMEM72,-4.278719454,1.624340913,NA,1.72E-139,6.32E-137
SLC26A2,-4.063034968,7.930881796,NA,3.20E-139,1.16E-136
LINC01645,-4.165490309,-2.32731078,NA,7.23E-139,2.60E-136
SLC4A4,-4.604096193,5.100253042,NA,1.03E-138,3.67E-136
TMEM35A,-4.12890156,1.547278586,NA,1.20E-138,4.23E-136
TMEM253,-2.986087375,0.887517796,NA,1.35E-138,4.70E-136
TP53INP2,-2.540168226,5.83065829,NA,2.48E-138,8.50E-136
GUCA2B,-6.055779953,3.335502309,NA,2.98E-138,1.01E-135
DPT,-4.116324027,4.065165427,NA,1.72E-136,5.78E-134
ZNF575,-2.027364496,2.034611456,NA,3.06E-136,1.02E-133
RPL12P14,-2.959011873,-0.620884544,NA,7.73E-136,2.54E-133
AHCYL2,-2.700022592,6.871215805,NA,3.98E-135,1.30E-132
VSTM2A,-5.187925508,-0.436780267,NA,1.14E-134,3.68E-132
CADM3,-4.678162215,1.550729541,NA,1.80E-134,5.75E-132
