,logFC,logCPM,insert,PValue,FDR
CDH3,5.766599302,6.57587668,NA,2.77E-168,2.25E-165
ETV4,5.298812514,6.883947796,NA,7.78E-147,3.37E-144
KRT80,6.659121749,5.373574812,NA,2.27E-142,8.65E-140
ESM1,5.537562962,2.870916291,NA,2.49E-127,6.65E-125
AJUBA,2.98058553,4.633429108,NA,4.19E-122,9.38E-120
MTHFD1L,2.3585453,5.662795563,NA,2.44E-117,4.87E-115
CLDN1,4.836987301,6.634385277,NA,2.61E-107,4.12E-105
FOXQ1,6.470920399,5.503982358,NA,3.84E-106,5.92E-104
NFE2L3,2.666279562,7.081557993,NA,8.77E-104,1.26E-101
WNT2,5.454257685,3.21006625,NA,1.20E-99,1.51E-97
GRIN2D,5.004040749,5.322850644,NA,2.04E-99,2.51E-97
CEMIP,5.217867187,7.192198972,NA,1.27E-96,1.46E-94
LRP8,2.874155594,4.558361288,NA,1.03E-89,9.66E-88
PVT1,2.823203388,3.881840666,NA,2.05E-87,1.78E-85
ENC1,2.014474261,7.388682909,NA,2.37E-84,1.97E-82
TRIB3,3.85613678,6.441718097,NA,1.22E-83,9.74E-82
SIM2,4.501126908,3.981192597,NA,1.50E-83,1.19E-81
MAFG-DT,3.051468688,2.577905963,NA,3.25E-83,2.55E-81
SLCO4A1,3.492588569,6.276526166,NA,4.64E-83,3.64E-81
EPHX4,4.43477078,2.951264602,NA,5.29E-80,3.84E-78
TRIP13,2.217086337,4.801970552,NA,1.32E-79,9.47E-78
SPTBN2,3.073177865,5.316312072,NA,1.49E-77,1.01E-75
GTF2IRD1,2.225373289,6.244227676,NA,1.51E-77,1.03E-75
C6orf223,4.573991334,5.314881399,NA,2.47E-76,1.64E-74
IQANK1,2.884964194,5.192510492,NA,4.06E-76,2.65E-74
KIAA1549,2.301256095,4.833861557,NA,6.49E-76,4.18E-74
FUT1,2.874754346,3.204987361,NA,4.58E-75,2.87E-73
BLACAT1,5.351876292,2.528906706,NA,2.36E-74,1.45E-72
MDFI,3.639456224,3.915491209,NA,4.95E-73,2.95E-71
CPNE7,5.786614851,5.017034524,NA,8.78E-73,5.21E-71
PDX1,4.717896053,4.262632175,NA,2.74E-72,1.61E-70
PPM1H,2.286179691,5.55904822,NA,1.71E-71,9.79E-70
OTX1,5.608439986,1.583403747,NA,1.72E-70,9.60E-69
DDX31,1.144749695,4.463640832,NA,7.68E-70,4.16E-68
TMEM206,1.549232027,3.493790023,NA,8.04E-70,4.33E-68
PLEKHN1,3.456923651,2.16380527,NA,1.52E-69,8.10E-68
NEBL,2.297188083,6.608195501,NA,6.15E-69,3.22E-67
DDN,4.5275317,1.800177329,NA,6.78E-69,3.54E-67
SALL4,4.929163639,1.953537355,NA,8.79E-69,4.57E-67
TEAD4,2.319770907,4.919407866,NA,2.30E-68,1.18E-66
CBX8,1.733757683,4.00277169,NA,2.35E-68,1.20E-66
INHBA,5.188748337,5.308422098,NA,2.55E-67,1.26E-65
LINC02163,7.209080974,-0.57190858,NA,1.20E-66,5.86E-65
LARGE2,4.5002467,5.449286729,NA,1.34E-66,6.52E-65
CGREF1,3.46518779,4.807650058,NA,1.88E-66,9.10E-65
OSBPL3,1.82736926,5.404140484,NA,1.98E-66,9.55E-65
KIAA1257,3.441729758,2.244305615,NA,2.17E-66,1.04E-64
SLC39A10,1.910300642,5.325747731,NA,5.12E-66,2.42E-64
LINC02577,6.424396639,0.847266434,NA,2.53E-65,1.18E-63
SPATA12,3.10159329,0.191801256,NA,5.74E-65,2.65E-63
ZC3HAV1L,2.127072571,3.016663019,NA,1.06E-64,4.85E-63
CRNDE,4.596969539,2.143131912,NA,1.38E-64,6.29E-63
CBX2,3.658466317,4.040276546,NA,1.53E-64,6.96E-63
SLC7A5,3.055759684,7.664747543,NA,1.24E-63,5.54E-62
ORC6,1.987249785,4.015885246,NA,1.25E-63,5.59E-62
